video_id,search_query,title,channel,published_at,views,likes,comments,publish_year,publish_month,title_length,engagement_total,engagement_ratio
ipxkqTZj6P8,animated short,failed strategies of predator mosquito! 🤣 (best animation memes) #shorts,Avenu Animations,2024-10-05 16:00:46+00:00,47117545,873171,1695,2024,10,72,874866,0.018567733102393173
dcKt0vrp53o,animated short,GASLIGHT | Animated Short Film 2021,Gaslight Animated Short,2021-11-19 16:00:32+00:00,5325359,125944,3604,2021,11,35,129548,0.024326622862421106
RtU8nBnpFVE,animated short,Wings | Animated Short Film | SVA Thesis,Gothfrog,2019-08-27 19:00:11+00:00,11015120,666796,14149,2019,8,40,680945,0.061819117721822366
5L4DQfVIcdg,animated short,Coin Operated - Animated Short Film,Two Ghosts,2018-11-13 17:21:20+00:00,24924590,150197,5375,2018,11,35,155572,0.006241707486462165
XrXSFP4UkMk,animated short,Best Couple 😊 Witch Bunny Edit #animation #shorts,ANMESLAER,2024-05-10 23:40:24+00:00,3622048,207928,549,2024,5,49,208477,0.05755776842272659
ichHA_clJCk,animated short,guess whose outfit is whose [ash and z] | #animation #shorts #originalcharacters,XrayAlphaCharlie,2025-05-04 06:51:01+00:00,13813388,446889,1888,2025,5,80,448777,0.032488553858039754
xT4NL5nn3bM,animated short,The ballerina and the boxer…,Sussy Recap,2024-05-03 22:00:35+00:00,17166147,0,2329,2024,5,28,2329,0.00013567401001517696
3MnvyBi1KDU,animated short,WALTER - Animated Short Film,lorenzo fresta,2020-12-29 16:27:48+00:00,2017239,87592,1328,2020,12,28,88920,0.044080051991856196
eItK3m0FBes,animated short,it's just.. damage. | #animation #shorts,XrayAlphaCharlie,2023-01-30 04:17:47+00:00,9019951,619960,3778,2023,1,40,623738,0.0691509299773358
qmS1Ptyizx0,animated short,he thought he slick #deluluart #manhwa #delulu #webtoon #booktok #animatic #animation,AKA_ANIMATES ,2025-09-13 18:02:04+00:00,5750416,134478,800,2025,9,85,135278,0.0235249067197921
AGkCRnlGppo,animated short,We have to stand up for eachother. Short Animation,Emilyxvrs,2023-01-11 07:30:15+00:00,6586976,566987,6207,2023,1,50,573194,0.08701929383073508
ErZ57wYs_AE,indie animation,Punctured Souls 8 😱,thelovelyhorrorshow,2024-09-21 00:54:40+00:00,42263904,296492,205,2024,9,19,296697,0.00702010396389316
54Gwlgem5XY,indie animation,"Why is Indie Animation Dialogue ""Like That?""",The Roundtable,2026-03-31 23:43:23+00:00,330849,19066,1599,2026,3,44,20665,0.062460518242461065
wAr2ICdeCrs,indie animation,WE'RE CREATING AN INDIE ANIMATION PILOT!!,ChristianAnimations Studios,2025-11-16 14:43:07+00:00,34601,2998,553,2025,11,41,3551,0.10262709170255195
ISDcNOtk8b0,indie animation,Watering pants instead of plants #balloontoons #animation #loop,Balloon Toons,2022-12-31 03:00:04+00:00,231356661,2868397,15442,2022,12,63,2883839,0.012464905862381892
-Pb23R02H4w,indie animation,Sprunki Durple Chocolate TRICK,Cat the Star,2025-01-17 09:34:37+00:00,24334116,195391,128,2025,1,30,195519,0.00803476896386949
C6cSNz1tDJ4,indie animation,Para(NOT!)Normal - The Animated Pilot,Keyan Carlile Animation,2026-03-13 19:00:06+00:00,171213,18402,1329,2026,3,37,19731,0.11524241733980481
9D7waet8SCQ,indie animation,This Indie Cartoon is CREEPY!,Saberspark,2025-10-10 17:00:24+00:00,103711,7789,192,2025,10,29,7981,0.07695422857748938
1QFipP6LZnk,indie animation,This New Indie Animation Surprised Me! Wastelandia Pilot Review,Ayy Lmao,2025-08-25 01:38:26+00:00,1128482,123935,1278,2025,8,63,125213,0.11095702013855782
4jmjN6UPCcQ,indie animation,Why Indie Animation Is So GOOD,S1UMP,2025-10-08 21:45:01+00:00,24570,674,11,2025,10,30,685,0.02787952787952788
nYSncFx8_HE,indie animation,OverRated IndieSlop,Silverfox1232,2026-03-19 16:30:06+00:00,77905,4087,3706,2026,3,19,7793,0.10003209036647198
XczLsAKWABE,indie animation,Why do Fandoms Dislike Us? #fandoms #anime #cartoons #indie #shortfilms,Rosetta Sun,2024-04-14 04:17:14+00:00,1315070,110892,4018,2024,4,71,114910,0.08737937904446151
bL_ZeSe1N2k,indie animation,4 Indie Shows that GLITCH could pick up,Ayy Lmao,2025-10-13 00:58:44+00:00,665910,57118,1297,2025,10,39,58415,0.0877220645432566
uZC9t3OTu_c,indie animation,HEATHENS (PILOT),Studio Psycho,2025-11-14 22:00:06+00:00,3181435,410865,16505,2025,11,16,427370,0.13433246318092307
AhlGN7vVFPM,indie animation,Golden wish (A or B?)  | Funny Animation😂,4M Animation,2023-03-01 17:18:03+00:00,100646604,2768920,5978,2023,3,41,2774898,0.02757070670760039
ygzCPJDiwVY,indie animation,What Counts as Indie Animation & Why Do People Care?,Cartoon Universe,2026-02-03 15:55:36+00:00,19271,1293,183,2026,2,52,1476,0.07659177001712418
LT84BuV5Qe4,indie animation,Ranking Every Indie Animation Show On Youtube In 2024 (Worst to Best),Mark Morton,2024-10-25 17:37:58+00:00,40418,921,377,2024,10,69,1298,0.03211440447325449
LihGgfYp8vI,indie animation,Indie Animation is Rising Up,Vailskibum,2026-03-18 19:00:21+00:00,68887,5139,689,2026,3,28,5828,0.08460231974102515
d-zS9zDLgJg,indie animation,Indie Animation Keeps Getting CRAZIER...,The Roundtable,2026-03-20 22:35:50+00:00,42891,2909,191,2026,3,40,3100,0.07227623510759833
8VGNLcMbEBw,indie animation,Indie Animation Community Vs MrBeast  #animation #indieanimation #mrbeast #karljacobs,Sold,2025-03-30 15:45:00+00:00,856330,58405,874,2025,3,85,59279,0.06922448121635351
ufYaHH3epqY,indie animation,Independent Animators Are Taking Over,mjtanner,2026-03-22 19:45:45+00:00,16325,1253,176,2026,3,37,1429,0.08753445635528331
sNk4nsWkmO0,indie animation,Here’s why we’re NOT animating like Disney…👀✍️#indiegame #animation #indiedev,Cup Dragon,2025-08-06 23:16:00+00:00,1379094,153837,493,2025,8,77,154330,0.11190680258198499
yf2tBjHvx9s,indie animation,ERSATZ | PILOT,saint greaver,2026-01-10 23:00:06+00:00,1206201,174476,6581,2026,1,14,181057,0.1501051648937449
RaZiJXwc5fg,indie animation,Why Indie Animators Like Vivziepop Are Turning to Amazon,MrBooone,2025-07-05 15:00:44+00:00,10616,358,65,2025,7,56,423,0.03984551620195931
kfvldrZoAr4,indie animation,Life with ✨Friends✨ ~ KPDH Animation #shorts,Livani's Studio,2025-10-26 18:00:45+00:00,49650378,795963,4511,2025,10,44,800474,0.01612221361134451
OpBo4trl-pU,cartoon short film,Masha and the Bear 2026 🌈🗻 Why Should We Protect Planet Earth? 🥾🌍 Best episodes collection 🎬,Masha and The Bear,2026-04-08 08:00:00+00:00,1111078,4144,0,2026,4,92,4144,0.0037297111453921325
Ba5oB-kqXxY,cartoon short film,Hungry Caterpillar Adventure | Follow Traffic Rules | Safety Rules | Cartoon | Sheriff Labrador,Sheriff Labrador - Kids Cartoon,2026-04-10 11:00:06+00:00,220521,780,0,2026,4,95,780,0.0035370781014053086
U-L9ge1Isdk,cartoon short film,Learn Good Manners 🤝💕 | Sharing Is Good Habits | Baby Cartoon  #toddlersongs #shorts #kidssongs,Jugnu Kids PlayTime - Nursery Rhymes & kids songs,2025-10-03 05:00:36+00:00,97033484,464065,0,2025,10,95,464065,0.004782524350048072
